item_id,definition,group,past,stem_add_d,past_add_d,group_trans,matches_add_d,matches_class
item_401,bite,singleton,bit,bited,bited,bit,FALSE,TRUE
item_402,blow,fly-flew,blew,blowed,blewed,blew,FALSE,TRUE
item_403,break,singleton,broke,breaked,broked,broke,FALSE,TRUE
item_404,bring,sing-sang,brought,bringed,broughted,brang,FALSE,FALSE
item_405,build,singleton,built,builded,builted,built,FALSE,TRUE
item_406,bump,general,bumped,bumped,NA,NA,TRUE,FALSE
item_407,buy,singleton,bought,buyed,boughted,bought,FALSE,TRUE
item_408,carry,general,carried,carried,NA,NA,TRUE,FALSE
item_409,catch,singleton,caught,catched,caughted,caught,FALSE,TRUE
item_410,chase,general,chased,chased,NA,NA,TRUE,FALSE
item_411,clap,general,clapped,clapped,NA,NA,TRUE,FALSE
item_412,clean,general,cleaned,cleaned,NA,NA,TRUE,FALSE
item_413,climb,general,climbed,climbed,NA,NA,TRUE,FALSE
item_414,close,general,closed,closed,NA,NA,TRUE,FALSE
item_415,cook,general,cooked,cooked,NA,NA,TRUE,FALSE
item_416,cover,general,covered,covered,NA,NA,TRUE,FALSE
item_417,cry,fly-flew,cried,cried,NA,crew,TRUE,FALSE
item_418,cut,singleton,cut,cutted,cutted,cut,FALSE,TRUE
item_419,dance,general,danced,danced,NA,NA,TRUE,FALSE
item_420,draw,singleton,drew,drawed,drewed,drew,FALSE,TRUE
item_421,drink,singleton,drank,drinked,dranked,drank,FALSE,TRUE
item_422,drive,singleton,drove,drived,droved,drove,FALSE,TRUE
item_423,drop,general,dropped,dropped,NA,NA,TRUE,FALSE
item_424,dry,general,dried,dried,NA,NA,TRUE,FALSE
item_425,dump,general,dumped,dumped,NA,NA,TRUE,FALSE
item_426,eat,singleton,ate,eated,ated,ate,FALSE,TRUE
item_427,fall,singleton,fell,falled,felled,fell,FALSE,TRUE
item_428,feed,feed-fed,fed,feeded,feded,fed,FALSE,TRUE
item_429,find,singleton,found,finded,founded,found,FALSE,TRUE
item_430,finish,general,finished,finished,NA,NA,TRUE,FALSE
item_431,fit,singleton,fit,fitted,fitted,fit,FALSE,TRUE
item_432,fix,general,fixed,fixed,NA,NA,TRUE,FALSE
item_433,get,singleton,got,getted,gotted,got,FALSE,TRUE
item_434,give,singleton,gave,gived,gaved,gave,FALSE,TRUE
item_435,go,singleton,went,goed,wented,went,FALSE,TRUE
item_436,hate,general,hated,hated,NA,NA,TRUE,FALSE
item_437,have,singleton,had,haved,haded,had,FALSE,TRUE
item_438,hear,singleton,heard,heared,hearded,heard,FALSE,TRUE
item_439,help,general,helped,helped,NA,NA,TRUE,FALSE
item_440,hide,singleton,hid,hided,hidded,hid,FALSE,TRUE
item_441,hit,singleton,hit,hitted,hitted,hit,FALSE,TRUE
item_442,hold,singleton,held,holded,helded,held,FALSE,TRUE
item_443,hug,general,hugged,hugged,NA,NA,TRUE,FALSE
item_444,hurry,general,hurried,hurried,NA,NA,TRUE,FALSE
item_445,jump,general,jumped,jumped,NA,NA,TRUE,FALSE
item_446,kick,general,kicked,kicked,NA,NA,TRUE,FALSE
item_447,kiss,general,kissed,kissed,NA,NA,TRUE,FALSE
item_448,knock,general,knocked,knocked,NA,NA,TRUE,FALSE
item_449,lick,general,licked,licked,NA,NA,TRUE,FALSE
item_450,like,general,liked,liked,NA,NA,TRUE,FALSE
item_451,listen,general,listened,listened,NA,NA,TRUE,FALSE
item_452,look,general,looked,looked,NA,NA,TRUE,FALSE
item_453,love,general,loved,loved,NA,NA,TRUE,FALSE
item_454,make,singleton,made,maked,maded,made,FALSE,TRUE
item_455,open,general,opened,opened,NA,NA,TRUE,FALSE
item_456,paint,general,painted,painted,NA,NA,TRUE,FALSE
item_457,pick,general,picked,picked,NA,NA,TRUE,FALSE
item_458,play,general,played,played,NA,NA,TRUE,FALSE
item_459,pour,general,poured,poured,NA,NA,TRUE,FALSE
item_460,pretend,general,pretended,pretended,NA,NA,TRUE,FALSE
item_461,pull,general,pulled,pulled,NA,NA,TRUE,FALSE
item_462,push,general,pushed,pushed,NA,NA,TRUE,FALSE
item_463,put,singleton,put,putted,putted,put,FALSE,TRUE
item_464,read,singleton,read,readed,readed,read,FALSE,TRUE
item_465,ride,singleton,rode,rided,roded,rode,FALSE,TRUE
item_466,rip,general,ripped,ripped,NA,NA,TRUE,FALSE
item_467,run,singleton,ran,runned,ranned,ran,FALSE,TRUE
item_468,say,general,said,said,NA,NA,TRUE,FALSE
item_469,see,singleton,saw,seed,sawed,saw,FALSE,TRUE
item_470,shake,singleton,shook,shaked,shooked,shook,FALSE,TRUE
item_471,share,general,shared,shared,NA,NA,TRUE,FALSE
item_472,show,fly-flew,showed,showed,NA,shew,TRUE,FALSE
item_473,sing,sing-sang,sang,singed,sanged,sang,FALSE,TRUE
item_474,sit,singleton,sat,sitted,satted,sat,FALSE,TRUE
item_475,skate,general,skated,skated,NA,NA,TRUE,FALSE
item_476,sleep,singleton,slept,sleeped,slepted,slept,FALSE,TRUE
item_477,slide,singleton,slid,slided,slided,slid,FALSE,TRUE
item_478,smile,general,smiled,smiled,NA,NA,TRUE,FALSE
item_479,spill,general,spilled,spilled,NA,NA,TRUE,FALSE
item_480,splash,general,splashed,splashed,NA,NA,TRUE,FALSE
item_481,stand,singleton,stood,standed,stooded,stood,FALSE,TRUE
item_482,stay,general,stayed,stayed,NA,NA,TRUE,FALSE
item_483,stop,general,stopped,stopped,NA,NA,TRUE,FALSE
item_484,sweep,singleton,swept,sweeped,swepted,swept,FALSE,TRUE
item_485,swim,singleton,swam,swimmed,swamed,swam,FALSE,TRUE
item_486,swing,sing-sang,swung,swinged,swunged,swang,FALSE,FALSE
item_487,take,singleton,took,taked,tooked,took,FALSE,TRUE
item_488,talk,general,talked,talked,NA,NA,TRUE,FALSE
item_489,taste,general,tasted,tasted,NA,NA,TRUE,FALSE
item_490,tear,singleton,tore,teared,teared,tore,FALSE,TRUE
item_491,think,singleton,thought,thinked,thoughted,thought,FALSE,TRUE
item_492,throw,fly-flew,threw,throwed,threwed,threw,FALSE,TRUE
item_493,tickle,general,tickled,tickled,NA,NA,TRUE,FALSE
item_494,touch,general,touched,touched,NA,NA,TRUE,FALSE
item_495,wait,general,waited,waited,NA,NA,TRUE,FALSE
item_496,wake,singleton,woke,waked,woked,woke,FALSE,TRUE
item_497,walk,general,walked,walked,NA,NA,TRUE,FALSE
item_498,wash,general,washed,washed,NA,NA,TRUE,FALSE
item_499,watch,general,watched,watched,NA,NA,TRUE,FALSE
item_500,wipe,general,wiped,wiped,NA,NA,TRUE,FALSE
item_501,wish,general,wished,wished,NA,NA,TRUE,FALSE
item_502,work,general,worked,worked,NA,NA,TRUE,FALSE
item_503,write,singleton,wrote,writed,wroted,wrote,FALSE,TRUE
